dex,species,direct_source_examples,evolution_route,validation_limit
34,NIDOKING,,"NIDORINO: EVOLVE_ITEM, MOON_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
35,CLEFAIRY,MAP_MT_MOON_1F land_mons; MAP_MT_MOON_B1F land_mons; MAP_MT_MOON_B2F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
36,CLEFABLE,,"CLEFAIRY: EVOLVE_ITEM, MOON_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
37,VULPIX,MAP_ROUTE8 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
38,NINETALES,,"VULPIX: EVOLVE_ITEM, FIRE_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
39,JIGGLYPUFF,MAP_ROUTE5 land_mons; MAP_ROUTE6 land_mons; MAP_ROUTE7 land_mons; MAP_ROUTE8 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
40,WIGGLYTUFF,,"JIGGLYPUFF: EVOLVE_ITEM, MOON_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
41,ZUBAT,MAP_MT_MOON_1F land_mons; MAP_MT_MOON_B1F land_mons; MAP_MT_MOON_B2F land_mons; MAP_ROCK_TUNNEL_1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
42,GOLBAT,MAP_CERULEAN_CAVE_1F land_mons; MAP_CERULEAN_CAVE_2F land_mons; MAP_CERULEAN_CAVE_B1F land_mons; MAP_SEAFOAM_ISLANDS_1F land_mons,"ZUBAT: EVOLVE_LEVEL, 22",Source coverage; integrated engine evolution and spatial playthrough required
43,ODDISH,MAP_ROUTE12 land_mons; MAP_ROUTE13 land_mons; MAP_ROUTE14 land_mons; MAP_ROUTE15 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
44,GLOOM,MAP_CERULEAN_CAVE_2F land_mons; MAP_ROUTE12 land_mons; MAP_ROUTE13 land_mons; MAP_ROUTE14 land_mons,"ODDISH: EVOLVE_LEVEL, 21",Source coverage; integrated engine evolution and spatial playthrough required
45,VILEPLUME,,"GLOOM: EVOLVE_ITEM, LEAF_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
46,PARAS,MAP_MT_MOON_B1F land_mons; MAP_MT_MOON_B2F land_mons; MAP_SAFARI_ZONE_CENTER land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
47,PARASECT,MAP_CERULEAN_CAVE_1F land_mons; MAP_SAFARI_ZONE_CENTER land_mons,"PARAS: EVOLVE_LEVEL, 24",Source coverage; integrated engine evolution and spatial playthrough required
48,VENONAT,MAP_ROUTE14 land_mons; MAP_ROUTE15 land_mons; MAP_ROUTE24 land_mons; MAP_ROUTE25 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
49,VENOMOTH,MAP_CERULEAN_CAVE_1F land_mons; MAP_ROUTE14 land_mons; MAP_ROUTE15 land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,"VENONAT: EVOLVE_LEVEL, 31",Source coverage; integrated engine evolution and spatial playthrough required
50,DIGLETT,MAP_DIGLETTS_CAVE_B1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
51,DUGTRIO,MAP_DIGLETTS_CAVE_B1F land_mons,"DIGLETT: EVOLVE_LEVEL, 26",Source coverage; integrated engine evolution and spatial playthrough required
52,MEOWTH,MAP_ROUTE5 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
53,PERSIAN,,"MEOWTH: EVOLVE_LEVEL, 28",Source coverage; integrated engine evolution and spatial playthrough required
54,PSYDUCK,MAP_CELADON_CITY water_mons; MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_1F water_mons; MAP_CERULEAN_CAVE_B1F fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
55,GOLDUCK,MAP_CERULEAN_CAVE_1F water_mons; MAP_CERULEAN_CAVE_B1F water_mons; MAP_ROUTE6 water_mons,"PSYDUCK: EVOLVE_LEVEL, 33",Source coverage; integrated engine evolution and spatial playthrough required
56,MANKEY,MAP_ROUTE22 land_mons; MAP_ROUTE23 land_mons; MAP_ROUTE3 land_mons; MAP_ROUTE4 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
57,PRIMEAPE,MAP_ROUTE23 land_mons,"MANKEY: EVOLVE_LEVEL, 28",Source coverage; integrated engine evolution and spatial playthrough required
58,GROWLITHE,MAP_POKEMON_MANSION_1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
59,ARCANINE,,"GROWLITHE: EVOLVE_ITEM, FIRE_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
60,POLIWAG,MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_B1F fishing_mons; MAP_FUCHSIA_CITY fishing_mons; MAP_ROUTE22 fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
61,POLIWHIRL,MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_B1F fishing_mons; MAP_ROUTE22 fishing_mons; MAP_ROUTE23 fishing_mons,"POLIWAG: EVOLVE_LEVEL, 25",Source coverage; integrated engine evolution and spatial playthrough required
62,POLIWRATH,,"POLIWHIRL: EVOLVE_ITEM, WATER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
63,ABRA,MAP_ROUTE5 land_mons; MAP_ROUTE6 land_mons; MAP_ROUTE7 land_mons; MAP_ROUTE8 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
64,KADABRA,MAP_ROUTE8 land_mons,"ABRA: EVOLVE_LEVEL, 16",Source coverage; integrated engine evolution and spatial playthrough required
65,ALAKAZAM,,"KADABRA: EVOLVE_LEVEL, 37",Source coverage; integrated engine evolution and spatial playthrough required
66,MACHOP,MAP_ROCK_TUNNEL_1F land_mons; MAP_ROCK_TUNNEL_B1F land_mons; MAP_ROUTE10 land_mons; MAP_VICTORY_ROAD_1F_FRLG land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
67,MACHOKE,MAP_VICTORY_ROAD_1F_FRLG land_mons; MAP_VICTORY_ROAD_2F land_mons; MAP_VICTORY_ROAD_3F land_mons,"MACHOP: EVOLVE_LEVEL, 28",Source coverage; integrated engine evolution and spatial playthrough required
68,MACHAMP,,"MACHOKE: EVOLVE_LEVEL, 37",Source coverage; integrated engine evolution and spatial playthrough required
69,BELLSPROUT,MAP_ROUTE12 land_mons; MAP_ROUTE13 land_mons; MAP_ROUTE14 land_mons; MAP_ROUTE15 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
70,WEEPINBELL,MAP_CERULEAN_CAVE_1F land_mons; MAP_CERULEAN_CAVE_2F land_mons; MAP_ROUTE12 land_mons; MAP_ROUTE13 land_mons,"BELLSPROUT: EVOLVE_LEVEL, 21",Source coverage; integrated engine evolution and spatial playthrough required
71,VICTREEBEL,,"WEEPINBELL: EVOLVE_ITEM, LEAF_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
72,TENTACOOL,MAP_CERULEAN_CITY water_mons; MAP_CINNABAR_ISLAND water_mons; MAP_PALLET_TOWN water_mons; MAP_ROUTE10 water_mons,,Source coverage; integrated engine evolution and spatial playthrough required
73,TENTACRUEL,,"TENTACOOL: EVOLVE_LEVEL, 30",Source coverage; integrated engine evolution and spatial playthrough required
74,GEODUDE,MAP_MT_MOON_1F land_mons; MAP_MT_MOON_B1F land_mons; MAP_MT_MOON_B2F land_mons; MAP_ROCK_TUNNEL_1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
75,GRAVELER,MAP_CERULEAN_CAVE_1F land_mons; MAP_CERULEAN_CAVE_2F land_mons; MAP_CERULEAN_CAVE_B1F land_mons; MAP_VICTORY_ROAD_2F land_mons,"GEODUDE: EVOLVE_LEVEL, 25",Source coverage; integrated engine evolution and spatial playthrough required
76,GOLEM,,"GRAVELER: EVOLVE_LEVEL, 37",Source coverage; integrated engine evolution and spatial playthrough required
77,PONYTA,MAP_ROUTE17 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
78,RAPIDASH,,"PONYTA: EVOLVE_LEVEL, 40",Source coverage; integrated engine evolution and spatial playthrough required
79,SLOWPOKE,MAP_ROUTE12 water_mons; MAP_ROUTE13 water_mons; MAP_SEAFOAM_ISLANDS_1F land_mons; MAP_SEAFOAM_ISLANDS_B1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
80,SLOWBRO,MAP_ROUTE12 water_mons; MAP_ROUTE13 water_mons; MAP_SEAFOAM_ISLANDS_B2F land_mons,"SLOWPOKE: EVOLVE_LEVEL, 37",Source coverage; integrated engine evolution and spatial playthrough required
81,MAGNEMITE,MAP_POWER_PLANT land_mons; MAP_ROUTE10 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
82,MAGNETON,MAP_POWER_PLANT land_mons,"MAGNEMITE: EVOLVE_LEVEL, 30",Source coverage; integrated engine evolution and spatial playthrough required
83,FARFETCHD,MAP_ROUTE12 land_mons; MAP_ROUTE13 land_mons; engine/data/maps/VermilionCity_House2_Frlg/scripts.inc:VermilionCity_House2_EventScript_Elyssa (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
84,DODUO,MAP_ROUTE16 land_mons; MAP_ROUTE17 land_mons; MAP_ROUTE18 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
85,DODRIO,MAP_ROUTE17 land_mons,"DODUO: EVOLVE_LEVEL, 31",Source coverage; integrated engine evolution and spatial playthrough required
86,SEEL,MAP_SEAFOAM_ISLANDS_B1F land_mons; MAP_SEAFOAM_ISLANDS_B2F land_mons; MAP_SEAFOAM_ISLANDS_B3F land_mons; MAP_SEAFOAM_ISLANDS_B4F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
87,DEWGONG,MAP_SEAFOAM_ISLANDS_B3F land_mons; MAP_SEAFOAM_ISLANDS_B4F land_mons,"SEEL: EVOLVE_LEVEL, 34",Source coverage; integrated engine evolution and spatial playthrough required
88,GRIMER,MAP_CELADON_CITY fishing_mons; MAP_POKEMON_MANSION_1F land_mons; MAP_POKEMON_MANSION_2F land_mons; MAP_POKEMON_MANSION_3F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
89,MUK,MAP_POKEMON_MANSION_2F land_mons; MAP_POKEMON_MANSION_3F land_mons; MAP_POKEMON_MANSION_B1F land_mons; MAP_POWER_PLANT land_mons,"GRIMER: EVOLVE_LEVEL, 38",Source coverage; integrated engine evolution and spatial playthrough required
90,SHELLDER,MAP_CINNABAR_ISLAND fishing_mons; MAP_PALLET_TOWN fishing_mons; MAP_SSANNE_EXTERIOR fishing_mons; MAP_VERMILION_CITY fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
91,CLOYSTER,,"SHELLDER: EVOLVE_ITEM, WATER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
92,GASTLY,MAP_POKEMON_TOWER_3F land_mons; MAP_POKEMON_TOWER_4F land_mons; MAP_POKEMON_TOWER_5F land_mons; MAP_POKEMON_TOWER_6F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
93,HAUNTER,MAP_POKEMON_TOWER_3F land_mons; MAP_POKEMON_TOWER_4F land_mons; MAP_POKEMON_TOWER_5F land_mons; MAP_POKEMON_TOWER_6F land_mons,"GASTLY: EVOLVE_LEVEL, 25",Source coverage; integrated engine evolution and spatial playthrough required
94,GENGAR,,"HAUNTER: EVOLVE_LEVEL, 37",Source coverage; integrated engine evolution and spatial playthrough required
95,ONIX,MAP_ROCK_TUNNEL_B1F land_mons; MAP_VICTORY_ROAD_1F_FRLG land_mons; MAP_VICTORY_ROAD_2F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
96,DROWZEE,MAP_ROUTE11 land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
97,HYPNO,,"DROWZEE: EVOLVE_LEVEL, 26",Source coverage; integrated engine evolution and spatial playthrough required
98,KRABBY,MAP_CERULEAN_CITY fishing_mons; MAP_CINNABAR_ISLAND fishing_mons; MAP_PALLET_TOWN fishing_mons; MAP_ROUTE10 fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
99,KINGLER,MAP_SEAFOAM_ISLANDS_B1F land_mons; MAP_SEAFOAM_ISLANDS_B2F land_mons; MAP_SEAFOAM_ISLANDS_B3F land_mons,"KRABBY: EVOLVE_LEVEL, 28",Source coverage; integrated engine evolution and spatial playthrough required
100,VOLTORB,MAP_POWER_PLANT land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
101,ELECTRODE,engine/data/maps/CinnabarIsland_PokemonLab_Lounge_Frlg/scripts.inc:CinnabarIsland_PokemonLab_Lounge_EventScript_Clifton (givemon); engine/data/maps/PowerPlant_Frlg/scripts.inc:PowerPlant_EventScript_Electrode1 (setwildbattle); engine/data/maps/PowerPlant_Frlg/scripts.inc:PowerPlant_EventScript_Electrode2 (setwildbattle),"VOLTORB: EVOLVE_LEVEL, 30",Source coverage; integrated engine evolution and spatial playthrough required
102,EXEGGCUTE,MAP_SAFARI_ZONE_CENTER land_mons; MAP_SAFARI_ZONE_EAST land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons; MAP_SAFARI_ZONE_WEST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
103,EXEGGUTOR,,"EXEGGCUTE: EVOLVE_ITEM, LEAF_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
104,CUBONE,MAP_POKEMON_TOWER_5F land_mons; MAP_POKEMON_TOWER_6F land_mons; MAP_POKEMON_TOWER_7F land_mons; MAP_SAFARI_ZONE_EAST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
105,MAROWAK,MAP_SAFARI_ZONE_EAST land_mons; MAP_SAFARI_ZONE_WEST land_mons; MAP_VICTORY_ROAD_1F_FRLG land_mons; engine/data/maps/PokemonTower_6F_Frlg/scripts.inc:PokemonTower_6F_EventScript_MarowakGhost (setwildbattle),"CUBONE: EVOLVE_LEVEL, 28",Source coverage; integrated engine evolution and spatial playthrough required
106,HITMONLEE,engine/data/maps/SaffronCity_Dojo_Frlg/scripts.inc:SaffronCity_Dojo_EventScript_HitmonleeBall (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
107,HITMONCHAN,engine/data/maps/SaffronCity_Dojo_Frlg/scripts.inc:SaffronCity_Dojo_EventScript_HitmonchanBall (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
108,LICKITUNG,MAP_CERULEAN_CAVE_B1F land_mons; engine/data/maps/Route18_EastEntrance_2F_Frlg/scripts.inc:Route18_EastEntrance_2F_EventScript_Haden (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
109,KOFFING,MAP_CELADON_CITY water_mons; MAP_POKEMON_MANSION_1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
110,WEEZING,,"KOFFING: EVOLVE_LEVEL, 35",Source coverage; integrated engine evolution and spatial playthrough required
111,RHYHORN,MAP_CERULEAN_CAVE_2F land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
112,RHYDON,MAP_CERULEAN_CAVE_2F land_mons; MAP_CERULEAN_CAVE_B1F land_mons,"RHYHORN: EVOLVE_LEVEL, 42",Source coverage; integrated engine evolution and spatial playthrough required
113,CHANSEY,MAP_CERULEAN_CAVE_B1F land_mons; MAP_SAFARI_ZONE_CENTER land_mons; MAP_SAFARI_ZONE_EAST land_mons; MAP_SAFARI_ZONE_NORTH_FRLG land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
114,TANGELA,MAP_ROUTE21_NORTH land_mons; MAP_ROUTE21_SOUTH land_mons; MAP_SAFARI_ZONE_CENTER land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
115,KANGASKHAN,MAP_SAFARI_ZONE_WEST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
116,HORSEA,MAP_CERULEAN_CITY fishing_mons; MAP_CINNABAR_ISLAND fishing_mons; MAP_PALLET_TOWN fishing_mons; MAP_ROUTE10 fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
117,SEADRA,MAP_CINNABAR_ISLAND fishing_mons; MAP_PALLET_TOWN fishing_mons; MAP_ROUTE19 fishing_mons; MAP_ROUTE20 fishing_mons,"HORSEA: EVOLVE_LEVEL, 32",Source coverage; integrated engine evolution and spatial playthrough required
118,GOLDEEN,MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_B1F fishing_mons; MAP_FUCHSIA_CITY fishing_mons; MAP_ROUTE22 fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
119,SEAKING,MAP_FUCHSIA_CITY fishing_mons; MAP_SAFARI_ZONE_CENTER fishing_mons; MAP_SAFARI_ZONE_EAST fishing_mons; MAP_SAFARI_ZONE_NORTH_FRLG fishing_mons,"GOLDEEN: EVOLVE_LEVEL, 33",Source coverage; integrated engine evolution and spatial playthrough required
120,STARYU,MAP_SEAFOAM_ISLANDS_B3F water_mons; MAP_SEAFOAM_ISLANDS_B4F water_mons,,Source coverage; integrated engine evolution and spatial playthrough required
121,STARMIE,,"STARYU: EVOLVE_ITEM, WATER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
122,MR_MIME,engine/data/maps/Route2_House_Frlg/scripts.inc:Route2_House_EventScript_Reyley (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
123,SCYTHER,MAP_SAFARI_ZONE_EAST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
124,JYNX,MAP_SEAFOAM_ISLANDS_B4F land_mons; engine/data/maps/CeruleanCity_House3_Frlg/scripts.inc:CeruleanCity_House3_EventScript_Dontae (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
125,ELECTABUZZ,MAP_POWER_PLANT land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
126,MAGMAR,MAP_POKEMON_MANSION_1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
127,PINSIR,MAP_SAFARI_ZONE_WEST land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
128,TAUROS,MAP_SAFARI_ZONE_NORTH_FRLG land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
129,MAGIKARP,MAP_CELADON_CITY fishing_mons; MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_B1F fishing_mons; MAP_CERULEAN_CITY fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
130,GYARADOS,MAP_CERULEAN_CAVE_1F fishing_mons; MAP_CERULEAN_CAVE_B1F fishing_mons; MAP_CERULEAN_CITY fishing_mons; MAP_CINNABAR_ISLAND fishing_mons,"MAGIKARP: EVOLVE_LEVEL, 20",Source coverage; integrated engine evolution and spatial playthrough required
131,LAPRAS,engine/data/maps/SilphCo_7F_Frlg/scripts.inc:SilphCo_7F_EventScript_LaprasGuy (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
132,DITTO,MAP_CERULEAN_CAVE_1F land_mons; MAP_CERULEAN_CAVE_2F land_mons; MAP_CERULEAN_CAVE_B1F land_mons; MAP_POKEMON_MANSION_B1F land_mons,,Source coverage; integrated engine evolution and spatial playthrough required
133,EEVEE,MAP_ROUTE7 land_mons; engine/data/maps/CeladonCity_Condominiums_RoofRoom_Frlg/scripts.inc:CeladonCity_Condominiums_RoofRoom_EventScript_EeveeBall (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
134,VAPOREON,,"EEVEE: EVOLVE_ITEM, WATER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
135,JOLTEON,,"EEVEE: EVOLVE_ITEM, THUNDER_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
136,FLAREON,,"EEVEE: EVOLVE_ITEM, FIRE_STONE, 1",Source coverage; integrated engine evolution and spatial playthrough required
137,PORYGON,engine/data/maps/CeladonCity_GameCorner_PrizeRoom_Frlg/scripts.inc:CeladonCity_GameCorner_PrizeRoom_EventScript_GivePorygon,,Source coverage; integrated engine evolution and spatial playthrough required
138,OMANYTE,engine/data/maps/CinnabarIsland_PokemonLab_ExperimentRoom_Frlg/scripts.inc:CinnabarIsland_PokemonLab_ExperimentRoom_EventScript_GiveOmanyte (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
139,OMASTAR,,"OMANYTE: EVOLVE_LEVEL, 40",Source coverage; integrated engine evolution and spatial playthrough required
140,KABUTO,engine/data/maps/CinnabarIsland_PokemonLab_ExperimentRoom_Frlg/scripts.inc:CinnabarIsland_PokemonLab_ExperimentRoom_EventScript_GiveKabuto (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
141,KABUTOPS,,"KABUTO: EVOLVE_LEVEL, 40",Source coverage; integrated engine evolution and spatial playthrough required
142,AERODACTYL,engine/data/maps/CinnabarIsland_PokemonLab_ExperimentRoom_Frlg/scripts.inc:CinnabarIsland_PokemonLab_ExperimentRoom_EventScript_GiveAerodactyl (givemon),,Source coverage; integrated engine evolution and spatial playthrough required
143,SNORLAX,engine/data/maps/Route12_Frlg/scripts.inc:Route12_EventScript_Snorlax (setwildbattle); engine/data/maps/Route16_Frlg/scripts.inc:Route16_EventScript_Snorlax (setwildbattle),,Source coverage; integrated engine evolution and spatial playthrough required
144,ARTICUNO,engine/data/maps/SeafoamIslands_B4F_Frlg/scripts.inc:SeafoamIslands_B4F_EventScript_Articuno (setwildbattle),,Source coverage; integrated engine evolution and spatial playthrough required
145,ZAPDOS,engine/data/maps/PowerPlant_Frlg/scripts.inc:PowerPlant_EventScript_Zapdos (setwildbattle),,Source coverage; integrated engine evolution and spatial playthrough required
146,MOLTRES,engine/data/maps/VictoryRoad_2F_Frlg/scripts.inc:ScY_Moltres (setwildbattle),,Source coverage; integrated engine evolution and spatial playthrough required
147,DRATINI,MAP_SAFARI_ZONE_CENTER fishing_mons; MAP_SAFARI_ZONE_EAST fishing_mons; MAP_SAFARI_ZONE_NORTH_FRLG fishing_mons; MAP_SAFARI_ZONE_WEST fishing_mons,,Source coverage; integrated engine evolution and spatial playthrough required
